event_origin_id,event_id,chosen_distance,n_candidates,n_selected,salary_candidate_share,any_selected_with_salary,all_candidates_with_salary,usable_salary,drop_reason_salary
evt_499||2138,evt_499,same_department,8,1,0.125,TRUE,FALSE,FALSE,candidate_missing_salary
evt_50||8594,evt_50,different_department,5,1,0.4,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_511||1896,evt_511,different_department,15,1,0.4,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_511||7748,evt_511,different_department,5,1,0,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_511||7782,evt_511,different_department,26,1,0.46153846153846156,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_512||1449,evt_512,different_department,84,1,0.4880952380952381,TRUE,FALSE,FALSE,candidate_missing_salary
evt_513||1335,evt_513,same_section,19,1,0.5263157894736842,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_518||1642,evt_518,same_department,24,2,0.25,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_518||2213,evt_518,same_department,6,1,0.3333333333333333,TRUE,FALSE,FALSE,candidate_missing_salary
evt_51||1449,evt_51,different_department,84,2,0.4880952380952381,TRUE,FALSE,FALSE,candidate_missing_salary
evt_51||1642,evt_51,same_department,24,2,0.25,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_51||1757,evt_51,different_department,3,1,0.3333333333333333,TRUE,FALSE,FALSE,candidate_missing_salary
evt_51||2033,evt_51,same_department,4,1,0,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_51||5869,evt_51,different_department,2,1,1,TRUE,TRUE,TRUE,usable_salary
evt_520||7506,evt_520,different_department,40,1,0.425,TRUE,FALSE,FALSE,candidate_missing_salary
evt_521||1642,evt_521,same_department,5,2,0.8,TRUE,FALSE,FALSE,candidate_missing_salary
evt_521||2213,evt_521,same_department,7,1,0.7142857142857143,TRUE,FALSE,FALSE,candidate_missing_salary
evt_522||1225,evt_522,different_department,6,1,0.3333333333333333,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_524||1225,evt_524,different_department,6,1,0.3333333333333333,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_524||1335,evt_524,different_department,19,1,0.5263157894736842,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_526||5884,evt_526,different_department,4,1,0.5,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_528||1130,evt_528,same_section,10,2,0.1,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_531||1130,evt_531,same_section,10,1,0.1,TRUE,FALSE,FALSE,candidate_missing_salary
evt_532||1449,evt_532,different_department,84,1,0.4880952380952381,TRUE,FALSE,FALSE,candidate_missing_salary
evt_533||7782,evt_533,different_department,26,1,0.46153846153846156,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_533||8164,evt_533,different_department,14,1,0.5,TRUE,FALSE,FALSE,candidate_missing_salary
evt_533||8490,evt_533,different_department,27,1,0.2222222222222222,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_544||8882,evt_544,different_department,2,1,0,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_547||1478,evt_547,different_department,14,2,0.35714285714285715,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_547||6953,evt_547,same_department,7,1,0.2857142857142857,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_552||1449,evt_552,different_department,23,2,0.43478260869565216,TRUE,FALSE,FALSE,candidate_missing_salary
evt_553||8490,evt_553,same_department,27,3,0.2222222222222222,TRUE,FALSE,FALSE,candidate_missing_salary
evt_554||8490,evt_554,same_department,27,8,0.2222222222222222,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_555||2118,evt_555,different_department,4,1,0,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_559||1190,evt_559,different_department,54,4,0.6481481481481481,TRUE,FALSE,FALSE,candidate_missing_salary
evt_559||1449,evt_559,different_department,84,1,0.4880952380952381,TRUE,FALSE,FALSE,candidate_missing_salary
evt_559||1676,evt_559,different_department,7,1,0.42857142857142855,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_559||2056,evt_559,different_department,61,2,0.5901639344262295,TRUE,FALSE,FALSE,candidate_missing_salary
evt_559||7051,evt_559,different_department,17,2,0.5294117647058824,TRUE,FALSE,FALSE,candidate_missing_salary
evt_559||7506,evt_559,different_department,40,1,0.425,TRUE,FALSE,FALSE,candidate_missing_salary
evt_55||7506,evt_55,different_department,40,2,0.425,TRUE,FALSE,FALSE,candidate_missing_salary
evt_560||8594,evt_560,different_department,5,1,0.4,TRUE,FALSE,FALSE,candidate_missing_salary
evt_561||2056,evt_561,different_department,61,1,0.5901639344262295,TRUE,FALSE,FALSE,candidate_missing_salary
evt_564||1190,evt_564,different_department,54,2,0.6481481481481481,TRUE,FALSE,FALSE,candidate_missing_salary
evt_564||1989,evt_564,different_department,6,1,0.3333333333333333,TRUE,FALSE,FALSE,candidate_missing_salary
evt_564||2056,evt_564,different_department,61,4,0.5901639344262295,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_564||7051,evt_564,different_department,17,3,0.5294117647058824,TRUE,FALSE,FALSE,candidate_missing_salary
