year_num,gov_level,office_id,office,office_norm,ward_current,historical_ward_guess,ward_assignment_method,ward_jp,historical_wards,slug,distance_to_yurakucho_km,central_hq,ward_guess_jp,ward_centroid_lat,ward_centroid_lon
1941,TokyoFu,2755,〓八王子市役所,八王子市役所,Kita,Takinogawa/Oji,name_keyword,北区,Takinogawa; Oji,kita-ku,9.078380214757798,1,北区,35.7528,139.7336
1941,TokyoFu,2757,〓八王子職業紹介所,八王子職業紹介所,Kita,Takinogawa/Oji,name_keyword,北区,Takinogawa; Oji,kita-ku,9.078380214757798,0,北区,35.7528,139.7336
1941,TokyoFu,2773,〓公立青年學校,公立青年学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,2871,〓北多摩税務出張所,北多摩税務出張所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,2958,〓南多摩税務出張所,南多摩税務出張所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,2959,〓南葛飾税務出張所,南葛飾税務出張所,Katsushika,Katsushika,name_keyword,葛飾区,Katsushika,katsushika-ku,10.717065821617748,0,葛飾区,35.7434,139.8472
1941,TokyoFu,2960,〓南足立税務出張所,南足立税務出張所,Adachi,Adachi,name_keyword,足立区,Adachi,adachi-ku,11.721325980632413,0,足立区,35.775,139.8044
1941,TokyoFu,3134,〓坂商業學校,坂商業学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3218,〓大泉師範學校,大泉師範学校,Itabashi,Itabashi,name_keyword,板橋区,Itabashi,itabashi-ku,9.81289847875712,0,板橋区,35.7513,139.7093
1941,TokyoFu,3228,〓大緑地建設事務所,大緑地建設事務所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3252,〓女子師範學校,女子師範学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
